state,value,amount
Hokkaido,1067,1
Aomori,1290,1
Iwate,1702,1
Miyagi,1337,1
Akita,1892,1
Yamagata,991,0
Fukushima,1055,1
Ibaraki,1490,1
Tochigi,1634,1
Gunma,1201,1
Saitama,1206,1
Chiba,1266,1
Tokyo,1512,1
Kanagawa,1765,1
Niigata,1596,1
Toyama,1982,1
Ishikawa,2293,2
Fukui,2210,2
Yamanashi,1102,1
Nagano,879,0
Gifu,2211,2
Shizuoka,2859,2
Aichi,1903,1
Mie,1838,1
Shiga,1757,1
Kyoto,1703,1
Osaka,1740,1
Hyogo,1512,1
Nara,1611,1
Wakayama,1505,1
Tottori,2295,2
Shimane,1987,1
Okayama,1016,1
Hiroshima,1849,1
Yamaguchi,1924,1
Tokushima,1986,1
Kagawa,1600,1
Ehime,1568,1
Koti,3204,3
Fukuoka,1254,1
Saga,1936,1
Nagasaki,1811,1
Kumamoto,1952,1
Oita,1795,1
Miyazaki,3043,3
Kagoshima,2580,2
Okinawa,2028,2
